chapter,topic,topic_name,context,question,other_instruction
1,1,The Print Statement,the print statement in Python is print(). It will output whatever you tell it to.,"what is output by the following print statement: print(""howdy ags"")",N/A
1,2,Basic Math,"In Python, there are basic types of math that you can perform.

Addition: add two numbers together using the plus sign ( + ).
Subtraction: subtract two numbers using the dash character ( - ).
Multiplication: multiply two numbers using the asterisk character ( * ).
Division: divide two numbers using the forward slash character ( / ).
Exponentiation: raise a number to the power of another number using the double asterisk character ( ** ).
Floor Division: divide two numbers and round down to the nearest whole number using the double forward slash character ( // ).
Modulus: divide two numbers and get the remainder using the percent sign character ( % ).
Remember, the order of operations (PEMDAS) still applies in Python.",what is the result of the math expression: 2+8*(4+1),"use any of the basic python arithmetic, such as addition, substraction, multiplication, division, exponentiation, floor division, or modulus."
1,3,Resulting Data Type,"there are several rules about what data type you get when you do certain math operations.
Any operation involving a float will result in a float.
Division will always result in a float.
Floor division will always result in an integer.
Modulus with two integers will result in an integer, otherwise it will result in a float.",what is output by the following: print(16/4),N/A
1,4,Importing the Math Module,"To import the math module, we use either import math or from math import *. we do this at the very beginning of the code.",How do we import the math module into our code?,N/A
1,5,Using the Math Module,"in the math module, we use sqrt(x) to find the square root of x. we also use fabs(x) to find the absolute value of x.","what is the output of the following code, assuming we have successfully imported the math module: print(sqrt(144))",N/A
2,1,Variables and Assignment,"In code, a variable is a storage place for a value, like a labeled box. Set a variable using the equals sign (=), which assigns the value on the right to the variable on the left. Variables can be used in expressions and reassigned to new values.",What is the output of the following code:\nx = 2\ny = 3\nprint(x + y)\nx = 5,N/A
2,2,Variable Names,"Variable names can only contain letters, numbers, and underscores (_). They cannot start with a number, cannot be exact Python keywords (such as print, if, else, for, while, etc.), and are case-sensitive.",Which of the following are valid variable names in Python? Choose all that apply:\n- 3rdplace\n- Length\n- kinetic-energy\n- time,N/A
2,3,Expressions and PEMDAS,"An expression is a piece of code that evaluates to a value. Make sure to include an arithmetic operator between each value. The order of operations (PEMDAS) applies to programming as well (parentheses, exponents, multiplication/division/floor division/modulo, addition/subtraction).",Write the correct order of operations of the following mathematical operations according to Python (1 is the first and 4 is the last):\n//\n()\n**,N/A
2,4,Shortcut Assignment Operators,"You can update a variable based on its current value using a shortcut by combining the arithmetic and assignment operators (e.g., +=, -=, *=, //=). The specified arithmetic operator is applied after the right side of the equals sign is evaluated.",What is the output of the following code:\nx = 5\ny = 3\nz = x + y\nz //= 2\nprint(z),N/A
2,5,Math Module Functions,"To use advanced math functions in Python, you can import the math module using ""from math import *"". You can then utilize functions like sqrt(x) to find the square root of x.",Starting with the following code:\nfrom math import *\n# your code goes here\nWrite one line of code that prints the value of sqrt(5) (square root of five) to the screen.,N/A
3,1,String Definition and Escape Characters,"Strings store text in Python and can be defined using single, double, or triple quotes. Escape characters begin with a backslash (\), such as \n (newline), \t (tab), \"", and \'. Triple quotes or alternating quotes allow inserting quotation marks within a string without syntax errors.","Which of the following is a valid Python string definition that will NOT result in a SyntaxError?\n- ""This is a ""string""""\n- 'This is a ""string"".'\n- ""Hello\world""\n- 'It''s time""""",N/A
3,2,Type Behaviors and Coercion Rules,"In Python, data types are implied upon creation. Division (/) always returns a float. Floor division (//) returns an integer. Operations combining floats and ints produce floats. Strings multiplied by an integer perform repetition (""hi"" * 2 -> ""hihi""), while string addition performs concatenation.",Which of the following expressions produce a floating-point number for variable x?\n- x = 100 + 2\n- x = 8 / 2\n- x = 8 // 3\n- x = float(True),Select all valid options.
3,3,Type Casting Rules and Errors,"Type casting converts values between types using int(), float(), bool(), and str(). Converting a float to int chops off decimals. Converting strings to numbers requires a valid numeric format (e.g., int(""3.14"") raises an error). For booleans, bool("""") is False, while any non-empty string like bool(""False"") or bool(""0"") evaluates to True.","Which of the following operations is valid and will NOT result in a runtime error?\n- y = float(""howdy"")\n- z = int(""3.2"")\n- num = int(float(""1.5""))\n- x = ""100"" + 2",N/A
3,4,Print Formatting and Arguments,"The print() function displays output. It takes `sep` (default space "" "") to separate multiple comma-delimited arguments, and `end` (default newline ""\n"") to specify what prints at the end. F-strings allow embedding expressions and formatting floating point decimals (e.g., f""{pi:.2f}"").","What is the output of the following f-string code snippet?\nmystr = ""ENGR""\nnewstr = ""Whoop""\nprint(f""{mystr}_{100+2}!{newstr}"")",N/A
3,5,Input Function and Function Calls,"The input() function prompts the user and always returns a string. To use input values in mathematical operations, explicit type casting (e.g., int(input())) is required. Calling a function involves passing arguments inside parentheses, such as print(), input(), or mathematical functions like sin() or sqrt().","Which of the following lines of code contain one or more function calls?\n- num = int(input(""Enter an integer: ""))\n- y = slope * (x - x1) + y1\n- print(""Howdy, World!"")\n- z = bool(29)",Select all that apply.
4,1,Relational Operators,"Boolean expressions evaluate to True or False using relational operators: == (equality), != (inequality), < (less than), > (greater than), <= (less than or equal to), and >= (greater than or equal to). A single equals sign (=) is for variable assignment, NOT relational comparison, and using it in a condition causes a SyntaxError.","Which of the following examples use valid relational operators in Python?\n- my_coins > 30\n- a < b\n- my_class = 2029\n- my_planet != ""Jupiter""",Select all valid options.
4,2,Boolean Operators and Logic Evaluation,"Boolean operators combine logical expressions: not (negation), and (conjunction), and or (disjunction). Order of operations evaluates arithmetic operators first, relational operators second, and boolean operators last (in the order: not, then and, then or). Parentheses override default precedence.",What is the boolean result of evaluating the following expression in Python?\nx = 4\ny = 8\nz = 1\nw = ((x < y) or (y < z)) and (not (z == 1) or (20 != x))\nprint(w),N/A
4,3,"If, Elif, and Else Conditionals","If statements conditionally execute code when a boolean expression is True. Syntax requires a colon (:) after the condition and indented code blocks. `elif` (else if) checks subsequent conditions if previous ones were False, and `else` executes if all prior conditions fail.","Consider the following Python code:\ngrade = 85\nif grade >= 90:\n    print(""A"")\nelif grade >= 80:\n    print(""B"")\nelse:\n    print(""C"")\nWhat value is printed to the terminal?",N/A
